Q70208	municipality of Switzerland
Q10727088	Ödesbölen
Q10840661	urban area of Vietnam
Q10840669	Class V town
Q10925819	Hakka walled village
Q11129101	ethnic village
Q11183787	Ortschaft
Q11271835	state capital
Q11302190	kotan
Q11361229	shitamachi
Q11374182	Kagai of Kyoto
Q11381457	tenmachō
Q11396522	shoki-shōen
Q348884	municipal community
Q350735	tae
Q350895	abandoned settlement
Q351190	Waldhufendorf
Q356090	Reihendorf
Q377283	temporary capital
Q378508	municipality of Angola
Q5333096	eco-municipality
Q5377740	district of Tehran
Q5396348	Tree breeding
Q5433334	family farm
Q5446765	mahala
Q5447132	field system
Q5459907	floating city
Q5476644	Fox Cities
Q5500414	Freedmen's town
Q5532181	General Service Area
Q5556082	neighbourhood in Tehran
Q5571369	quarter of a city in Italy
Q5586091	gore
Q5615133	guest ranch
Q5645450	hamlet of Clackamas County in Oregon
Q5670577	alqueria
Q5756064	casería
Q5762461	Hill town
Q5764144	Hilltowns in Italy
Q7553685	municipal district of Bulgaria
Q7557352	Soldier settlement
Q7574798	special city of North Korea
Q7574799	special city of South Korea
Q7574919	specialized municipality in Alberta
Q7632428	suburb of Canberra
Q7819319	Czech municipality with expanded powers
Q7829892	town of New Jersey
Q7830079	town of district significance in Russia
Q7830214	crofting township
Q7830213	township of New Jersey
Q7841907	municipality with authorized municipal office
Q7885245	unincorporated urban community of Canada
Q7885250	unincorporated town in Nevada
Q7885248	unincorporated communities in Eau Claire County, Wisconsin
Q7886462	Moshav shitufi
Q11423996	zaigōmachi
Q11439934	hanamachi in Osaka
Q11452119	kanshōfu-shō
Q11455719	kishinchi-kei-shōen
Q11457718	jinaimachi
Q11462226	Koedo
Q11488831	mikuriya
Q11502785	hanamachi in Niigata
Q11506008	Japanese port settlement
Q11521076	Sassenhirofuku
Q11524038	hanamachi in Tokyo
Q11549307	water town
Q11589724	hanamachi in Kobe
Q11647353	hanamachi in Kanazawa
Q11658180	jin'yamachi
Q11662690	aosen
Q11679959	Outskirt (Al-Andalus)
Q11697931	Farm
Q11722303	rural municipality of Sweden and Finland
Q11723820	jednostka osadnicza
Q11732217	Flecken
Q11774771	county of Nova Scotia
Q3504085	rural municipality of Poland
Q3505887	city council
Q3519572	Thankful Village
Q3545675	city of license
Q3551273	Universal CityWalk
Q3555852	seed orchard
Q3556889	municipality of El Salvador
Q378636	village with a church
Q401315	Sestiere
Q408804	borough of New York City
Q424857	ōaza
Q13410522	borough of Alaska
Q13411064	pastoral lease
Q13414965	Gaeltacht Iorrais agus Acaill
Q13416557	Royal city
Q13420058	municipal community in Sweden
Q13455645	administrative city in the Republic of Ireland
Q13526752	lugar
Q13539802	place with town rights and privileges
Q13582281	circoscrizione di decentramento comunale in Italy
Q11881845	town
Q11912920	casal
Q11939023	population nucleus (Spain)
Q11940652	Valencian pedania
Q11954567	veïnat
Q11962746	metropolitan region of Norway
Q11983070	rural municipality of Norway
Q12015578	Urban municipality
Q12015918	Colony (Poland)
Q12031379	capital of region
Q12039044	urban township of Taiwan
Q12047276	provincial town
Q5119	capital
Q13626398	urban okrug in Russia
Q13645388	luxury real estate
Q13734172	Italian industrial district
Q13997861	partido of Buenos Aires
Q14178148	proveniershuis
Q14242187	city district of Nizhny Novgorod
Q14379247	Rural–urban fringe
Q14419427	sugarcane plantation
Q14454091	Public Rental Housing
Q14502790	settlement of Hungary
Q428986	Linear city
Q98651954	Viertelsgemeinde
Q98938901	town of Vermont
Q98966896	coastal settlement
Q99691499	kommune
Q99945381	Farmers' company town
Q100268926	iberian settlement
Q100341898	market municipality of Germany
Q100503226	town of the United Kingdom
Q100689072	Quarter of La Spezia
Q100701580	quarter of Cagliari
Q100705184	Quarter of Catania
Q100961648	historic town
Q101475956	superblock
Q101500124	medieval city
Q102240431	Chinese village
Q104376770	pick-your-own farm
Q104414508	100 percent corner
Q104488513	proposed city
Q104600084	Winter capital
Q104774075	urbanized area
Q104774089	urban cluster
Q104841013	hromada
Q105080440	park entrance station
Q105492024	village of Saudi Arabia
Q105658132	district of Legnano
Q105742469	legislative capital
Q105742483	executive capital
Q105742499	judicial capital
Q106071004	town of New York state
Q106071744	former town
Q106072745	coterminous town-village of New York
Q106078286	component city
Q12051488	populated place in Ukraine
Q12054099	neighborhood of Jerusalem
Q12057022	medieval town
Q12057402	holy city of Islam
Q12063697	neighborhood of Washington, D.C.
Q12082132	rural village
Q12082384	urban village
Q12102963	city specifically designated in the state plan
Q12104567	housing estate
Q12131624	city in Ukraine
Q57058	municipality of Croatia
Q57318	free imperial city
Q15092400	independent city
Q15105893	town in Croatia
Q15127012	town of the United States
Q15127838	city under state jurisdiction in Latvia
Q17278559	quarter of Bremen
Q17279532	Quarter of Verona
Q17290932	Cree reserved land
Q17305746	northern settlement of Saskatchewan
Q17318027	rural commune of Morocco
Q17319854	Haras Nationaux
Q17343829	unincorporated community in the United States
Q17351697	township of New Hampshire
Q17361402	community of the People's Republic of China
Q17366755	hamlet
Q17457202	population centre
Q17457437	Census agglomeration
Q17468479	district of Oulu
Q17468533	former municipality of Finland
Q62049	county seat
Q12131640	city of district significance
Q12134916	center of oblast
Q12159392	Seven Cities of Delhi
Q12161100	cortijo
Q12225020	uzlah
Q12304704	urban area in Denmark
Q12317354	hovedgård
Q12336315	rural municipality of Denmark
Q12336912	Railway towns in Denmark
Q12343515	Udsted
Q12372955	tree nursery
Q15129871	municipality of Azerbaijan
Q15141625	subdistrict municipality
Q15141632	Thesaban Nakhon
Q15142636	pirate haven
Q15195406	city district in Russia
Q15210668	lower-tier municipality
Q15219655	civil town of Wisconsin
Q15221242	village of Wisconsin
Q17496379	City district in Austria
Q17507358	Syrian refugee camps
Q17540983	open air site
Q17591477	Ringdorf
Q17624511	caserío
Q17634997	balneario
Q18285253	Alberta special area
Q18398645	types of towns and cities in Russia
Q18413195	Stadtkreis
Q18475442	list of neighbourhoods in Barra da Tijuca
Q18511725	market town
Q14520137	winter camp
Q14601169	human fortified settlement
Q14616455	destroyed city
Q14762205	municipal district of Alberta
Q14762300	single-tier municipality
Q14762890	regional municipality of Ontario
Q14763041	county of Ontario
Q14770218	cantonal capital of Switzerland
Q12488911	kampung
Q12488913	kampung of Papua
Q12551453	nomadic camp
Q15221256	city of Wisconsin
Q15221304	first-class city
Q15221310	second-class city
Q15221370	third-class city
Q15221373	fourth-class city
Q15234658	improvement district of Alberta
Q15253706	like a city
Q15260353	host city
Q15273785	Belgian municipality with city privileges
Q7963019	Walled villages of Hong Kong
Q7963016	Walled village
Q8049262	courtyard neighborhood
Q8069436	zero-carbon city
Q8254378	cabecera municipal
Q8452914	district town
Q8561193	district of Valencia
Q8960966	favela in Rio de Janeiro
Q9016264	Jewish quarter
Q9017117	kampong
Q9035798	township of Pennsylvania
Q14784328	state capital in Germany
Q14829592	Haufendorf
Q14839548	minor locality in Sweden
Q14916829	internment camp
Q14947481	wierde
Q15008703	daba
Q18559008	district of São Paulo
Q18587469	residential community
Q18600372	borough of Dresden
Q18600709	Chefsgaard
Q18608436	quarter of Florence
Q18632459	ulus
Q18646840	divorce municipality
Q18663566	dissolved municipality of Japan
Q18663579	former municipality of Norway
Q18663765	stud farm
Q15063142	urban township of Minnesota
Q15063600	home rule city of Michigan
Q15063611	city in the state of New York
Q15068900	town in Prince Edward Island
Q15078955	urban-type settlement in Russia
Q15079751	submunicipality of Amsterdam
Q15092344	urban area in Norway
Q15303838	municipality seat
Q15411479	town of Connecticut
Q15411644	town of Virginia
Q15463116	wild horse stud farm
Q15501937	alqueria
Q15584664	city under municipality jurisdiction in Latvia
Q15630849	village of Bulgaria
Q15632133	city district of Cologne
Q15632166	city part of Cologne
Q18696097	Textile Company Town in Catalonia
Q18729324	razyezd
Q18821702	former commune of France
Q18918041	Municipality of West Bengal
Q19285917	hilltop settlement
Q19347965	former municipality of Austria
Q19658107	neighborhood of Brazil
Q19708617	smaal-house area
Q19710962	State-owned farm
Q19730508	former municipality
Q12712989	concelho of Cape Verde
Q12716802	Matrikkelgard
Q12721325	human outpost
Q12813115	urban area in Sweden
Q12816129	béguinage
Q13025342	Thesaban Mueang
Q6621272	former municipality of Sweden
Q6621998	list of hamlets in Alberta
Q6622000	hamlet in Saskatchewan
Q6629667	list of municipalities in Turkey
Q6636519	resort village in Saskatchewan
Q6641762	summer village in Alberta
Q6643740	town in Manitoba
Q6643749	list of towns in Nova Scotia
Q6643834	township of North Dakota
Q6644696	village in Alberta
Q6644759	village of New Brunswick
Q6650409	Little India
Q6650818	Little Manila
Q6784672	municipality of Slovakia
Q15634883	district of Manila
Q15644358	Arbeitslager
Q15647906	city of Portugal
Q15650103	municipality of Libya
Q15661340	ancient city
Q19754218	Home Ownership Scheme housing estate
Q19832914	defined community of Minneapolis
Q19833170	town of Portugal
Q19884342	village of North Macedonia
Q19886692	neighbourhood of São Paulo
Q19903011	Jewish locality
Q19905455	borough
Q19939940	ban
Q19944049	pekon
Q20019082	work settlement of Russia
Q20102367	talaiotic village
Q20202352	locality of Mexico
Q20538317	village in Saskatchewan
Q20541692	settlement in Galicia, Spain
Q13033753	ladested
Q13099270	Setring
Q13100073	village-level division in China
Q13217644	municipality of Portugal
Q21086297	castellum aquae
Q21130185	an existing village of a former municipality in Finland
Q21507383	provincial or territorial capital city in Canada
Q21507948	former village
Q21518270	state or insular area capital in the United States
Q21550633	garden city
Q21658093	Districts of Aktobe
Q15715391	town inside a parish
Q15715406	neighbourhood of Helsinki
Q15725677	pedanía
Q15727363	Jesuit Missions of La Santísima Trinidad de Paraná and Jesús de Tavarangüé
Q15727673	city district of Hanover
Q15731904	municipal district of Nova Scotia
Q15793693	caserío
Q15830667	quarter of Hamburg
Q15840617	planned capital city
Q15876732	internment camp on the Isle of Man
Q15911903	state-level new area of the People's Republic of China
Q15921247	constituent locality
Q15921300	sector of Bucharest
Q22674930	destroyed settlement
Q22674939	sunken settlement
Q22675614	pentapolis
Q22833408	District of the city of Strasbourg, France
Q22907229	Christian Communities
Q22927548	commune in merger-association
Q22927616	commune of France with specific status
Q22958233	farm of Norway
Q23010647	suburb of Perth
Q23012917	village of Burkina Faso
Q23036513	former municipality of Denmark
Q23308490	dusun
Q20616831	flooded village
Q20645909	locality with the main parish church
Q20658319	community orchard
Q20683285	neighbourhood in Rio de Janeiro
Q20724701	city or town in Armenia
Q20738855	urban area with a population of 150-199
Q20826840	municipality
Q20899166	regional capital (France)
Q20968646	neighborhood of historical district of Moscow
Q21010817	city of Pennsylvania
Q21051254	Einhof
Q21073100	bivouac
Q23541388	city district of Lappeenranta
Q23640644	Levitical city
Q23827730	village in Sudan
Q23828031	village in Jordan
Q23870569	ranchería of California
Q23925393	Douar
Q21672098	village of Ukraine
Q21751582	deserted medieval village
Q21851888	district of the city in the Czech Republic
Q21856567	agro-town
Q21857891	Swedish city
Q21869758	delegated commune
Q22580836	village in Latvia
Q22674925	former populated place
Q23953065	local urban district
Q24068255	13 Kohanic cities
Q24258416	railway station
Q24700892	post town
Q24945773	Human Rights City
Q25339974	quinta
Q25377665	gambling city
Q25391965	city (German language)
Q25398029	exurb
Q25412751	rural entity in Chile
Q25412763	city in Chile
Q25412766	town of Chile
Q25412770	urban entity in Chile
Q25421146	llogaret
Q25450277	lähiöt Suomessa
Q25565492	Paulesh
Q25637977	Traditional Sinhala villages
Q26086501	rabat
Q15974307	Einheitsgemeinde of Germany
Q15974311	unincorporated area in Germany
Q15975450	smallholding
Q15978299	municipality with town privileges in the Czech Republic
Q16155707	městys
Q16181672	special autonomous city in South Korea
Q16295254	upper-tier municipality
Q16351639	aprūpes ciems
Q16352482	scattered village in Latvia
Q16355778	average size village in Latvia
Q16362394	large village in Latvia
Q16363214	small village in Latvia
Q16363669	sports park
Q26201757	Civitas foederata
Q26211545	desa
Q26714626	large village
Q26742250	former municipality of Estonia
Q26844382	district of Tampere
Q26960982	insula
Q27095194	bookshop neighbourhood
Q27104997	civil parish with city status
Q27134986	place of destination
Q27254666	urban-type settlement by the railway station
Q27517483	railroad crossing
Q27531730	kordon
Q27554677	former capital
Q27654220	abandoned hamlet
Q27676414	city
Q27676416	city or town
Q27676422	township municipality
Q27676420	village municipality of Quebec
Q27676424	united townships municipality
Q27676431	naskapi village municipality
Q27676428	municipality
Q27676524	parish municipality
Q27702623	academic enclave
Q27824520	Inuit reserved land
Q27942327	village in Vietnam
Q28045485	market town municipality of Sweden
Q28052515	Subdivision
Q30504307	maritime settlement
Q30504342	riverside settlement
Q16423630	abandoned farm
Q16511251	Municipality of Greenland
Q16520910	yellow-star house
Q16532593	autonomous city of Spain
Q16537979	castelliere
Q16557344	diseminado
Q16668702	Palm grove
Q16724476	town of Belarus
Q16739079	municipalities of Cyprus Republic
Q16751551	borough of Brescia
Q16751788	circoscrizione of Vicenza
Q28067896	Kurort
Q28107315	quartier of Saint Barthélemy
Q28148504	museum district
Q28169748	Amsar
Q28203007	administrative sector
Q28228887	insula
Q28328984	village in Armenia
Q28371991	village of Yemen
Q28372019	neighborhood of Yemen
Q28517279	population entity in Chile
Q28539166	quarter of the city of Basel, Switzerland
Q28541343	forest tree nursery
Q28656402	new town in Alberta
Q28659128	city of North Korea
Q28683527	yūkaku in Shimonoseki
Q28710264	organic farm
Q28843552	factory complex
Q28916128	local government district
Q28924735	unincorporated area of Victoria, Australia
Q28942344	Indigenous Australian community
Q29043077	civil parish group
Q29048704	traditional settlement in Greece
Q29414133	Communities of Cyprus Republic
Q29463880	Quarter of Limassol Municipality
Q29467088	rural municipality of Nepal
Q29556224	city in Cyprus
Q29641323	Womyn's land
Q29946056	highly urbanized city
Q29959075	housepit
Q30060572	rural municipality of Canada
Q30114493	bounded rural locality
Q30324022	organized industrial zone
Q30339232	sector of Chișinău
Q30493986	villa area
Q16761595	circoscrizione of Treviso
Q16825568	Caravan city
Q16830604	census town of India
Q16832602	Kommuniondorf
Q16837104	bairro
Q16858213	town in Romania
Q16878951	private town
Q16889359	game farm
Q16918164	estate village
Q16933701	principal city
Q16936588	village of Pennsylvania
Q16942708	Cardu
Q16969603	settlement
Q17011863	Shaker community
Q17015330	Neighborhoods of Minneapolis
Q17050310	Vorstadt
Q17051044	mahalle
Q17134625	municipality of Bermuda
Q17135847	quarter of Genoa
Q17137839	circoscrizione of Verona
Q17198524	civil township of South Dakota
Q17198545	township of Illinois
Q17198620	township of Ohio
Q17201685	township of Indiana
Q17205621	township of Iowa
Q17205735	township of Kansas
Q17205774	township of Michigan
Q17233249	city district of Szczecin
Q17276937	ward of Madrid
Q17278423	district of Bremen
Q130360	
Q206824	
Q228385	
Q678820	
Q801738	
Q811303	
Q1014933	
Q1175519	
Q1175522	
Q1214947	
Q1214945	
Q1440591	
Q1462091	
Q1487089	
Q1495733	
Q1500394	
Q1501116	
Q1544184	
Q1563681	
Q1622981	
Q1662017	
Q1699960	
Q1713951	
Q1758254	
Q1759006	
Q1797396	
Q1835354	
Q1866095	
Q1891566	
Q2002507	
Q2012289	
Q2051209	
Q2073573	
Q2092943	
Q2094129	
Q2164984	
Q2180609	
Q2196159	
Q2197079	
Q2207993	
Q2229627	
Q2248015	
Q2251202	
Q2280389	
Q2294779	
Q2305818	
Q2334604	
Q2392703	
Q2393615	
Q2441638	
Q2460358	
Q2465988	
Q2514492	
Q2523643	
Q2523674	
Q2564609	
Q2595432	
Q2605228	
Q2632264	
Q2752520	
Q2774769	
Q2801464	
Q2940766	
Q2948675	
Q2974620	
Q3060146	
Q3172900	
Q3333432	
Q3390714	
Q3497368	
Q3555847	
Q3559100	
Q3631457	
Q3642453	
Q3657267	
Q3661417	
Q3677886	
Q4055738	
Q4100864	
Q4134849	
Q4205191	
Q4205194	
Q4205195	
Q4205192	
Q4205193	
Q4205198	
Q4205199	
Q4205196	
Q4205197	
Q4205202	
Q4205203	
Q4205200	
Q4205201	
Q4205204	
Q4379239	
Q5708091	
Q6174014	
Q8196150	
Q9248451	
Q9386054	
Q9696256	
Q9730870	
Q10272959	
Q10280443	
Q10329259	
Q10401396	
Q10423826	
Q10425988	
Q10497140	
Q10499752	
Q10865718	
Q11352443	
Q11418825	
Q11420479	
Q11422603	
Q11480697	
Q11503672	
Q11503991	
Q11505677	
Q11643523	
Q11643712	
Q11659397	
Q11696869	
Q11836709	
Q11891850	
Q11908565	
Q11997521	
Q12003595	
Q12012287	
Q12029144	
Q12038856	
Q12075102	
Q12116124	
Q12179166	
Q12232785	
Q12313264	
Q12336407	
Q12411695	
Q12715564	
Q12763958	
Q12767238	
Q12885262	
Q13010665	
Q13028711	
Q13028920	
Q13134576	
Q13134971	
Q13415859	
Q13430105	
Q13455211	
Q13583718	
Q13732359	
Q15701964	
Q15705202	
Q15806875	
Q15849630	
Q15849827	
Q15881338	
Q16014774	
Q16132253	
Q16133394	
Q16346815	
Q16451291	
Q16480895	
Q16514244	
Q16577077	
Q16638537	
Q16652878	
Q16679728	
Q16915447	
Q17174727	
Q17599845	
Q18009853	
Q18088164	
Q18408637	
Q18466065	
Q18466176	
Q18485046	
Q18677363	
Q18691318	
Q18691480	
Q19388266	
Q19393982	
Q19507642	
Q19547677	
Q19608753	
Q19760240	
Q19796166	
Q19817970	
Q19835481	
Q19974058	
Q20103881	
Q20107855	
Q20818846	
Q21012165	
Q21598521	
Q22248247	
Q23925100	
Q24026248	
Q24067406	
Q25412758	
Q25412759	
Q25412760	
Q25412771	
Q25412772	
Q25412779	
Q25412780	
Q25412784	
Q25412785	
Q25504578	
Q25616677	
Q27062006	
Q27254663	
Q27295972	
Q27517161	
Q27517998	
Q27518087	
Q27518260	
Q27518266	
Q27518282	
Q27518287	
Q27518793	
Q27526294	
Q27526303	
Q27532791	
Q27532818	
Q27537456	
Q27537502	
Q27554593	
Q27566198	
Q27577201	
Q27587491	
Q27588300	
Q27588331	
Q27905703	
Q28050899	
Q28502371	
Q28754498	
Q29386689	
Q29390553	
Q29390827	
Q29390824	
Q29390831	
Q29390834	
Q29390837	
Q29473586	
Q29473607	
Q30503896	
Q30503903	
Q30503904	
Q30503905	
Q30503911	
Q30503908	
Q30503912	
Q30503913	
Q30503918	
Q30503916	
Q30503922	
Q30503925	
Q30503930	
Q30503928	
Q30559493	
Q30892276	
Q31458588	
Q31835971	
Q39881836	
Q48784221	
Q48845950	
Q50066265	
Q51573395	
Q51588808	
Q54959403	
Q55076205	
Q56312482	
Q56345297	
Q56366312	
Q58036156	
Q58270523	
Q58854609	
Q60220838	
Q62130005	
Q62269194	
Q63390901	
Q63497359	
Q63531558	
Q64524328	
Q65057939	
Q65241205	
Q65246805	
Q65274067	
Q65281628	
Q66364404	
Q67462766	
Q68028199	
Q68981550	
Q71111443	
Q71145903	
Q72264395	
Q74303884	
Q74523705	
Q77836349	
Q79119281	
Q79337953	
Q79414634	
Q79423884	
Q79423998	
Q79424059	
Q84140257	
Q89266677	
Q90400139	
Q91088676	
Q95246722	
Q96033523	
Q96034032	
Q96210457	
Q97122090	
Q97195426	
Q97202782	
Q98141352	
Q98398975	
Q98437811	
Q98446331	
Q98446431	
Q102329612	
Q104352269	
Q104352457	
Q104352503	
Q104352619	
Q104352735	
Q104352803	
Q104352895	
Q104530309	
Q104641871	
Q105254117	
Q105561716	
Q105587861	
Q105588854	
Q105743178	
Q105744167	
Q105847253	
Q105882470	
Q106389302	
Q106491277	
Q106491339	
Q106491386	
Q106492558	
Q106504960	
Q106504971	
Q106504986	
Q106505016	
Q106505035	
Q106505045	
Q106509178	
